target,mission,label,ra,dec,kepmag,period,t0,duration,depth_ppm,snr
Kepler-662,Kepler,1,290.46512,47.92918,15.377,21.67699193,171.53594,3.4555,857.0,34.3
Kepler-663,Kepler,1,297.80826,47.946671,15.861,4.99677968,171.74208,2.1717,935.0,28.2
Kepler-671,Kepler,1,294.26581,49.314091,15.356,4.280963604,171.89659,2.875,751.0,61.8
K00770.01,Kepler,0,295.66522,49.351009,15.525,1.50635409,170.998064,1.5155,2210.0,181.1
K00771.01,Kepler,0,296.69861,49.316479,15.207,670.645531,209.04355,53.412,18100.0,642.7
K00772.01,Kepler,0,283.72592,49.479519,15.25,61.2563628,173.83826,7.633,5120.0,85.3
Kepler-672,Kepler,1,291.72202,49.480869,15.172,38.3775486,172.82048,5.588,724.0,34.7
Kepler-229,Kepler,1,286.99948,48.37579,15.841,41.19725502,165.00404,4.6297,2210.0,51.2
Kepler-229,Kepler,1,286.99948,48.37579,15.841,6.252962249,171.30126,2.5819,1040.0,47.1
Kepler-665,Kepler,1,297.02563,48.478588,15.39,16.01308419,176.3608,3.2554,1120.0,33.2
Kepler-230,Kepler,1,285.71854,48.505859,15.082,32.62876672,194.1019,4.7971,1800.0,80.0
Kepler-230,Kepler,1,285.71854,48.505859,15.082,91.7732862,193.8378,6.473,652.0,19.1
K00760.01,Kepler,1,292.16705,48.727589,15.263,4.959319244,172.2585292,2.22739,9800.0,696.5
K00761.01,Kepler,0,297.92365,48.777321,15.54,2.701287801,170.69579,3.3827,860.0,48.3
Kepler-666,Kepler,1,298.45685,48.791592,15.395,4.49876511,171.34905,3.7362,460.0,29.5
K00763.01,Kepler,0,291.0939,48.933842,15.536,19.65120951,179.401981,5.2514,11800.0,513.4
Kepler-105,Kepler,1,287.88733,46.276241,12.791,5.412203927,133.143089,2.9472,602.0,166.7
Kepler-667,Kepler,1,295.55505,49.017342,15.4,41.43958662,208.93203,10.5989,2790.0,141.1
Kepler-668,Kepler,1,285.49924,49.277351,15.317,8.35389523,171.63257,2.2514,1040.0,43.4
Kepler-669,Kepler,1,291.93616,49.253979,15.506,4.125543472,169.752585,3.1744,1490.0,128.6
Kepler-670,Kepler,1,297.01547,49.225288,15.052,2.816504904,170.9676846,2.50587,16800.0,1406.8
K00768.01,Kepler,0,284.17233,49.360722,15.716,33.93373447,186.67608,14.561,8500.0,236.1
Kepler-680,Kepler,1,291.62241,50.61824,15.242,3.689920099,170.36571,2.6557,427.0,35.6
Kepler-232,Kepler,1,295.81616,51.121738,15.367,4.431238488,171.015,3.15,1010.0,71.1
Kepler-232,Kepler,1,295.81616,51.121738,15.367,11.37936986,133.84992,2.6255,1020.0,37.9
Kepler-681,Kepler,1,289.39972,51.25032,15.234,26.39432897,176.05459,3.573,1510.0,48.2
Kepler-106,Kepler,1,300.86398,44.337551,12.882,13.57078281,136.279194,3.3539,512.0,88.4
Kepler-105,Kepler,1,287.88733,46.276241,12.791,7.12594387,139.00492,3.0014,192.0,47.1
K00774.01,Kepler,0,288.98682,49.733742,15.27,7.442652004,169.9717797,2.3078,24400.0,835.6
Kepler-52,Kepler,1,286.73804,49.97575,15.095,16.38489988,172.72782,3.0249,1130.0,28.9
Kepler-52,Kepler,1,286.73804,49.97575,15.095,7.8774163,176.3759,2.0805,1310.0,38.7
Kepler-52,Kepler,1,286.73804,49.97575,15.095,36.4454001,151.60125,4.007,1120.0,21.7
Kepler-673,Kepler,1,290.78574,50.054119,15.523,3.728732147,171.793255,2.683,5230.0,345.2
K00777.01,Kepler,1,294.31686,50.080231,15.487,40.4195037,173.56469,3.362,6260.0,36.9
Kepler-674,Kepler,1,285.17621,50.149818,15.135,2.243380573,170.679233,1.1196,822.0,38.9
K00779.01,Kepler,0,289.23553,50.241001,15.562,10.40599802,177.197466,6.5036,14500.0,745.2
Kepler-675,Kepler,1,293.83331,50.23035,15.334,2.337437946,171.761982,1.9982,971.0,82.4
K00780.02,Kepler,1,293.83331,50.23035,15.334,7.2406612,137.75545,0.558,556.0,13.7
K00115.03,Kepler,1,287.88733,46.276241,12.791,3.43591631,132.6624,3.133,23.2,8.7
Kepler-676,Kepler,1,296.22195,50.28722,15.937,11.59822233,180.395376,2.5237,2800.0,71.0
Kepler-677,Kepler,1,290.09805,50.321609,15.312,6.575315881,173.634044,4.3084,2790.0,221.1
Kepler-678,Kepler,1,295.45529,50.49456,15.08,7.275040844,169.994217,7.5377,3000.0,312.1
Kepler-231,Kepler,1,293.97336,50.53191,15.385,19.27153892,186.77093,2.7594,1220.0,37.1
Kepler-231,Kepler,1,293.97336,50.53191,15.385,10.06524317,136.28906,1.369,1050.0,30.3
Kepler-679,Kepler,1,296.02133,50.56778,15.505,12.3935651,178.74725,3.8896,917.0,35.8
Kepler-106,Kepler,1,300.86398,44.337551,12.882,43.84439721,151.93538,6.802,615.0,83.7
K00798.01,Kepler,0,292.31595,38.27029,15.629,3.341913228,171.63943,3.813,725.0,39.0
K00799.01,Kepler,0,294.36819,38.31028,15.279,1.626630225,169.820171,2.1145,1620.0,103.6
Kepler-234,Kepler,1,291.65353,38.494659,15.541,2.711504086,170.03417,3.0099,838.0,64.5
Kepler-234,Kepler,1,291.65353,38.494659,15.541,7.21203748,172.81782,4.0491,950.0,51.5
K00789.01,Kepler,0,291.0448,51.321671,15.727,14.1798187,171.50237,2.505,460.0,11.2
Kepler-233,Kepler,1,296.36652,51.319519,15.339,8.47237911,174.16212,2.7245,1120.0,47.6
Kepler-233,Kepler,1,296.36652,51.319519,15.339,60.4189369,181.16367,5.039,931.0,20.1
Kepler-682,Kepler,1,289.11221,51.737381,15.14,12.61190435,180.892284,5.1497,6110.0,277.2
K00792.01,Kepler,0,290.84369,37.728828,15.122,1.433769925,170.403536,1.8868,1980.0,112.6
K00793.01,Kepler,0,291.84891,37.713501,15.065,10.31872301,173.31543,3.836,872.0,38.2
Kepler-683,Kepler,1,291.43997,37.905659,15.026,2.539183147,169.67494,2.4282,382.0,38.9
Kepler-684,Kepler,1,290.87051,38.273628,15.591,6.770300385,170.57662,2.0844,1300.0,50.8
K00796.01,Kepler,0,290.99689,38.28492,15.748,0.444291966,169.865406,2.0792,11000.0,299.7
K00797.01,Kepler,1,291.28195,38.241669,15.657,10.181584,177.141891,3.5089,5740.0,183.6
Kepler-235,Kepler,1,286.07913,39.27832,15.954,20.06036336,147.46554,3.3203,1490.0,35.2
Kepler-235,Kepler,1,286.07913,39.27832,15.954,46.1842039,165.23729,4.758,1390.0,26.0
Kepler-106,Kepler,1,300.86398,44.337551,12.882,23.9800854,147.537,5.351,104.0,17.1
Kepler-235,Kepler,1,286.07913,39.27832,15.954,7.82502168,136.54995,2.186,521.0,15.9
Kepler-688,Kepler,1,294.65524,39.308361,15.725,3.895936525,170.527552,2.3111,8540.0,370.8
Kepler-689,Kepler,1,294.71063,39.52174,15.583,22.36646466,175.45862,5.228,987.0,32.1
Kepler-685,Kepler,1,293.87192,38.422939,15.001,1.625522174,170.8266564,2.38963,7970.0,799.7
K00802.01,Kepler,1,293.81619,38.563568,15.562,19.62034692,181.881819,2.0038,21700.0,340.5
K00803.01,Kepler,0,293.94116,38.601101,15.559,7.544039,171.7982,6.222,323.0,14.2
K00804.01,Kepler,1,290.33362,38.72823,15.387,9.02930689,177.20422,3.1449,1020.0,53.9
K00805.01,Kepler,0,287.69675,38.886452,15.646,10.32803571,174.581054,7.7915,16900.0,636.8
Kepler-30,Kepler,1,285.28363,38.947281,15.403,143.2063047,154.23552,8.9302,10600.0,138.8
Kepler-106,Kepler,1,300.86398,44.337551,12.882,6.164876,135.63916,3.262,55.8,14.4
Kepler-30,Kepler,1,285.28363,38.947281,15.403,60.32494216,243.892578,6.6188,20300.0,347.2
Kepler-30,Kepler,1,285.28363,38.947281,15.403,29.1598615,150.69922,4.803,488.0,11.6
K00807.01,Kepler,0,286.92639,38.921631,15.974,1.540397253,170.50479,2.1541,816.0,38.8
K00808.01,Kepler,0,287.74881,38.92955,15.842,2.99025443,171.9834,5.414,589.0,48.5
Kepler-686,Kepler,1,285.21381,39.027481,15.53,1.594745374,170.6483505,1.9604,15000.0,1009.3
K00810.01,Kepler,1,287.09399,39.060719,15.119,4.783002698,170.508434,2.335,1010.0,70.6
Kepler-687,Kepler,1,289.31543,39.153278,15.398,20.50588921,181.43428,4.0595,2110.0,78.5
Kepler-235,Kepler,1,286.07913,39.27832,15.954,3.340218842,171.979062,1.9104,1630.0,71.6
K00828.01,Kepler,0,295.37805,40.493401,15.555,2.507089906,171.002455,2.0067,1340.0,64.9
Kepler-53,Kepler,1,290.46176,40.562462,15.386,18.64932728,174.771,4.4056,894.0,46.1
Kepler-107,Kepler,1,297.02826,48.208611,12.487,4.90144976,138.60548,4.1654,141.0,50.6
Kepler-53,Kepler,1,290.46176,40.562462,15.386,9.75192101,138.78608,4.793,418.0,28.5
Kepler-53,Kepler,1,290.46176,40.562462,15.386,38.5576546,163.85063,5.794,993.0,39.7
Kepler-428,Kepler,1,290.58173,40.5774,15.224,3.525632539,170.0479951,2.59959,22300.0,1996.7
K00815.01,Kepler,1,285.92001,39.624828,15.684,34.84398644,172.633252,2.9315,4520.0,76.8
Kepler-690,Kepler,1,294.4899,39.771439,15.67,7.748094239,174.997206,3.5957,2470.0,113.2
Kepler-236,Kepler,1,283.86639,39.898079,15.414,23.96793669,186.22182,3.827,1180.0,27.5
Kepler-236,Kepler,1,283.86639,39.898079,15.414,8.29561738,135.79284,1.3421,824.0,17.9
Kepler-691,Kepler,1,288.81201,40.033401,15.877,8.11437482,176.33968,2.2736,1560.0,56.4
K00819.01,Kepler,0,294.14789,40.055538,15.472,38.03672948,196.934947,4.34617,82900.0,1300.0
K00820.01,Kepler,1,295.11371,40.071171,15.27,4.64090031,173.64638,35.512,2450.0,296.9
K00011.01,Kepler,0,291.06152,50.265129,13.496,3.747838198,171.66504,5.0642,616.0,138.2
Kepler-107,Kepler,1,297.02826,48.208611,12.487,14.74914825,138.77799,6.0995,430.0,107.4
Kepler-692,Kepler,1,294.77686,40.15374,15.54,21.81295996,174.01085,4.3791,1180.0,37.8
K00822.01,Kepler,0,283.53845,40.217999,15.805,7.91936937,172.181092,3.3148,15100.0,389.0
K00823.01,Kepler,1,296.00699,40.295429,15.202,1.028436523,170.228582,1.8606,8100.0,89.6
Kepler-693,Kepler,1,283.25354,40.358189,16.422,15.37562369,173.61402,3.3169,15300.0,166.0
Kepler-237,Kepler,1,283.22141,40.421829,15.289,8.10363271,176.9486,3.161,888.0,39.3
Kepler-237,Kepler,1,283.22141,40.421829,15.289,4.71510843,134.96178,2.506,418.0,21.3
Kepler-694,Kepler,1,291.14951,40.420521,15.09,6.365839713,171.13575,2.9721,781.0,70.8
K00827.01,Kepler,0,294.22397,40.417858,15.546,5.97581754,174.77602,3.065,962.0,50.3
K00839.01,Kepler,0,298.96112,40.862808,15.021,2.446737317,170.66951,4.7211,1180.0,110.2
Kepler-695,Kepler,1,299.3161,40.82238,15.028,3.04033046,169.9490106,1.8411,10900.0,568.2
Kepler-27,Kepler,1,292.23676,41.08588,15.855,15.33528675,174.00278,3.897,3080.0,86.6
Kepler-107,Kepler,1,297.02826,48.208611,12.487,7.95825328,137.80219,4.377,50.0,14.7
Kepler-27,Kepler,1,292.23676,41.08588,15.855,31.33046135,153.43031,5.176,5070.0,117.2
K00831.01,Kepler,0,294.05676,40.549679,15.016,3.9043425,173.393734,3.831,16200.0,323.4
K00832.01,Kepler,0,294.74396,40.53392,15.365,9.286358079,171.8214689,3.49949,44800.0,1671.1
K00833.01,Kepler,0,295.50439,40.505489,15.446,3.951405455,173.276125,2.1862,2450.0,117.2
Kepler-238,Kepler,1,287.89713,40.637821,15.084,23.65369415,171.376107,8.2183,3340.0,266.3
Kepler-238,Kepler,1,287.89713,40.637821,15.084,13.23352214,140.32196,6.7372,505.0,49.1
Kepler-238,Kepler,1,287.89713,40.637821,15.084,6.15560285,134.81656,4.9843,285.0,35.1
Kepler-238,Kepler,1,287.89713,40.637821,15.084,2.090811305,134.17462,3.388,116.0,19.9
Kepler-107,Kepler,1,297.02826,48.208611,12.487,3.180027898,133.49863,3.5797,120.0,50.4
Kepler-238,Kepler,1,287.89713,40.637821,15.084,50.4467417,178.5014,7.159,370.0,19.4
Kepler-239,Kepler,1,294.20215,40.66341,15.208,11.76307164,180.93613,2.9076,1040.0,48.9
Kepler-239,Kepler,1,294.20215,40.66341,15.208,56.2279271,132.29259,3.57,863.0,20.9
K00836.01,Kepler,0,299.64285,40.691238,15.836,2.384052875,171.58362,3.0918,1270.0,50.5
Kepler-240,Kepler,1,291.15878,40.750271,15.66,7.953547,174.66224,2.6312,875.0,38.4
Kepler-240,Kepler,1,291.15878,40.750271,15.66,4.14451656,135.92831,2.3421,392.0,22.8
K00838.01,Kepler,0,292.21436,40.759762,15.311,4.859386384,173.011469,2.2757,6040.0,269.7
Kepler-702,Kepler,1,293.87811,41.66177,15.305,10.52629458,176.522462,2.5211,9770.0,482.3
Kepler-703,Kepler,1,299.18686,41.74268,15.287,4.583520948,169.973972,2.7055,3810.0,99.5
Kepler-704,Kepler,1,283.31638,41.83712,15.257,3.76181843,171.90364,3.5176,511.0,35.9
Kepler-242,Kepler,1,286.5657,41.808399,15.376,8.20396958,169.69138,2.9667,1020.0,54.4
Kepler-242,Kepler,1,286.5657,41.808399,15.376,14.49645186,143.41659,4.016,648.0,25.7
K00841.03,Kepler,1,292.23676,41.08588,15.855,6.54626149,133.85964,2.75,656.0,24.8
Kepler-241,Kepler,1,292.91312,41.060921,15.389,12.71809866,175.35526,3.0957,1150.0,52.7
Kepler-241,Kepler,1,292.91312,41.060921,15.389,36.06588163,198.58423,4.3246,1560.0,51.7
Kepler-696,Kepler,1,293.49661,41.137589,15.27,4.190425659,171.44122,2.8589,2880.0,240.6
Kepler-697,Kepler,1,283.86441,41.346458,15.581,3.709870784,171.987982,3.0694,2020.0,116.1
Kepler-698,Kepler,1,288.51001,41.301769,15.447,16.3297527,177.29506,6.271,1190.0,74.6
Kepler-699,Kepler,1,296.88821,41.396091,15.482,27.80756622,186.713552,4.21587,25400.0,748.1
Kepler-700,Kepler,1,287.1543,41.565788,15.201,80.8723469,203.895,11.195,3600.0,160.9
K00848.01,Kepler,0,284.86929,41.679192,15.999,3.166465862,172.002627,2.9381,4360.0,122.1
Kepler-467,Kepler,1,287.36279,38.649601,12.377,24.99324319,138.68167,5.9409,270.0,62.0
Kepler-701,Kepler,1,288.9942,41.633282,15.018,10.35533116,170.93729,3.1775,751.0,49.2
Kepler-709,Kepler,1,292.10519,42.380322,15.219,16.08518937,180.28319,3.984,1440.0,62.6
K00868.01,Kepler,1,293.00797,42.307201,15.172,235.9986399,208.399822,8.2284,20700.0,271.8
Kepler-245,Kepler,1,291.63898,42.436321,15.599,7.49018305,174.95037,2.7297,1120.0,53.0
Kepler-245,Kepler,1,291.63898,42.436321,15.599,36.2761238,201.2869,4.7865,1570.0,45.5
Kepler-245,Kepler,1,291.63898,42.436321,15.599,17.46087931,137.26594,2.2641,812.0,22.6
Kepler-705,Kepler,1,289.50848,41.812119,15.849,56.0560754,201.16578,4.685,1630.0,27.4
Kepler-706,Kepler,1,291.76041,41.944069,15.196,41.40831669,195.78745,5.0264,22800.0,907.8
K00856.01,Kepler,1,293.17929,41.969238,15.344,39.74893077,172.854644,7.3051,15200.0,561.1
Kepler-243,Kepler,1,285.11047,42.033958,15.086,5.715425977,174.87931,2.5242,908.0,59.4
Kepler-108 B b,Kepler,1,294.55917,46.062328,12.654,49.18394185,141.911924,11.3364,1650.0,355.7
Kepler-243,Kepler,1,285.11047,42.033958,15.086,20.0261412,146.91109,1.611,421.0,10.7
K00858.01,Kepler,1,289.89777,42.009151,15.06,13.61014819,173.987319,2.594,5730.0,184.1
K00859.01,Kepler,0,286.24356,42.148811,15.546,10.44331991,175.4046,2.743,1160.0,51.7
Kepler-707,Kepler,1,290.00757,42.116459,15.001,2.237489571,170.81914,1.8119,316.0,30.7
K00862.01,Kepler,0,284.08731,42.233231,15.33,5.851520671,173.8228336,3.11058,33000.0,1630.4
Kepler-708,Kepler,1,293.81647,42.212502,15.533,3.167893418,172.147959,2.1814,781.0,64.8
Kepler-244,Kepler,1,287.24268,42.301369,15.604,4.311780262,173.576483,2.7251,1150.0,86.1
Kepler-244,Kepler,1,287.24268,42.301369,15.604,20.0504494,188.08821,4.556,841.0,37.8
Kepler-244,Kepler,1,287.24268,42.301369,15.604,9.76734503,186.57718,1.6585,569.0,21.1
K00865.01,Kepler,1,291.58377,42.36816,15.085,119.0207044,222.236492,8.1405,7430.0,223.5
Kepler-108 B c,Kepler,1,294.55917,46.062328,12.654,190.3200468,312.68498,15.284,1140.0,139.3
K00866.01,Kepler,0,291.67172,42.343109,15.618,2.861159894,171.648106,1.8832,1010.0,58.3
Kepler-82,Kepler,1,292.87338,42.966141,15.158,26.44439337,194.12074,3.9783,1840.0,88.0
Kepler-82,Kepler,1,292.87338,42.966141,15.158,51.53997972,174.055011,6.3994,3640.0,155.5
Kepler-82,Kepler,1,292.87338,42.966141,15.158,5.902245782,136.78393,2.9003,702.0,59.3
Kepler-82,Kepler,1,292.87338,42.966141,15.158,2.382951591,135.080841,1.8876,392.0,41.4
Kepler-712,Kepler,1,294.90973,42.935261,15.859,21.02250608,207.67593,4.1072,1770.0,62.4
Kepler-245,Kepler,1,291.63898,42.436321,15.599,3.219814777,133.00406,2.0642,488.0,30.5
Kepler-28,Kepler,1,292.13702,42.42942,15.036,5.912273234,172.184012,2.3254,961.0,62.8
Kepler-28,Kepler,1,292.13702,42.42942,15.036,8.98581901,175.68418,2.8606,881.0,51.8
K00871.01,Kepler,1,291.11969,42.507069,15.215,12.94066866,179.423014,2.4845,42500.0,307.5
K00120.01,Kepler,0,294.40192,50.172089,12.003,20.5452375,137.91394,2.517,219.0,18.5
Kepler-46,Kepler,1,289.26874,42.604172,15.262,33.60123371,186.680343,4.4056,7430.0,247.9
Kepler-46,Kepler,1,289.26874,42.604172,15.262,6.76652928,138.0637,2.9004,451.0,29.2
Kepler-710,Kepler,1,291.96417,42.69614,15.024,4.347288783,172.23343,2.1024,452.0,39.7
Kepler-246,Kepler,1,296.48343,42.663429,15.024,4.601811819,169.98108,2.2607,756.0,60.8
Kepler-246,Kepler,1,296.48343,42.663429,15.024,11.18719905,137.17814,3.252,354.0,21.9
K00875.01,Kepler,1,296.69394,42.62611,15.692,4.220965778,170.622433,3.0854,2260.0,157.8
K00876.01,Kepler,0,287.88412,42.832439,15.877,6.998099523,171.898913,2.0488,20300.0,192.3
Kepler-81,Kepler,1,293.63696,42.82497,15.019,5.95489993,170.955871,2.3892,1410.0,87.2
Kepler-81,Kepler,1,293.63696,42.82497,15.019,12.03987488,181.22536,2.7363,1250.0,57.6
Kepler-81,Kepler,1,293.63696,42.82497,15.019,20.83762895,132.08488,2.3734,439.0,14.9
K00121.01,Kepler,0,294.46088,38.383461,12.759,8.8111022,136.4568,5.0683,401.0,76.8
Kepler-711,Kepler,1,297.46002,42.83992,15.316,23.58917143,173.81994,5.073,1200.0,53.3
Kepler-109,Kepler,1,290.39273,40.28487,12.365,6.481633073,122.977657,3.784,299.0,125.6
Kepler-716,Kepler,1,290.39322,43.363899,15.193,10.37168928,172.61729,3.035,1250.0,64.5
Kepler-716,Kepler,1,290.39322,43.363899,15.193,3.96996298,137.75447,1.1757,299.0,15.0
Kepler-717,Kepler,1,292.96555,43.34639,15.662,4.40841331,172.18582,5.012,549.0,45.1
K00894.01,Kepler,0,299.00143,43.399632,15.26,7.9426176,174.52563,6.703,1590.0,60.4
Kepler-712,Kepler,1,294.90973,42.935261,15.859,226.8904775,207.35971,7.558,3140.0,46.8
K00882.01,Kepler,0,295.83536,42.943062,15.533,1.956811408,170.694208,2.1958,24900.0,125.4
K00883.01,Kepler,1,296.68307,42.967869,15.766,2.688899233,170.1020904,2.11275,37500.0,1011.6
Kepler-247,Kepler,1,288.64252,43.039291,15.067,9.439459486,177.186096,2.8979,3040.0,175.2
Kepler-95,Kepler,1,284.48245,44.398041,12.346,11.52306746,131.969055,3.8757,507.0,142.0
Kepler-247,Kepler,1,288.64252,43.039291,15.067,20.47748843,178.66786,2.8364,1380.0,52.7
Kepler-247,Kepler,1,288.64252,43.039291,15.067,3.336123113,135.31623,1.9616,516.0,41.6
Kepler-54,Kepler,1,294.77393,43.056301,15.847,8.01078456,170.20739,2.312,1330.0,48.5
Kepler-54,Kepler,1,294.77393,43.056301,15.847,12.07134205,143.45948,4.3224,759.0,31.0
Kepler-54,Kepler,1,294.77393,43.056301,15.847,20.99587872,152.31554,2.6333,767.0,18.2
Kepler-713,Kepler,1,295.65149,43.029831,15.031,7.41113177,175.34754,2.5242,621.0,50.4
K00888.01,Kepler,0,297.97513,43.164909,15.419,1.000747038,169.974229,0.9967,1820.0,147.4
Kepler-75,Kepler,1,291.1376,36.577381,15.264,8.884922995,169.991686,2.07004,16100.0,388.2
Kepler-714,Kepler,1,282.69952,43.272739,15.261,8.09888906,176.623731,4.20241,6910.0,435.9
Kepler-715,Kepler,1,283.63077,43.379398,15.063,10.00653012,176.96898,5.344,936.0,71.9
Kepler-448,Kepler,1,297.45374,41.01099,11.353,17.85522168,146.596466,7.41287,9070.0,915.7
K00901.01,Kepler,1,285.16748,43.876339,15.75,12.73262407,176.939054,2.2083,6470.0,210.5
K00902.01,Kepler,1,287.85239,43.897991,15.754,83.92494032,236.76334,6.7904,7960.0,182.1
Kepler-719,Kepler,1,295.53613,43.884449,15.813,5.007316661,173.433997,4.2362,6930.0,431.4
Kepler-55,Kepler,1,285.16833,44.026459,15.791,2.211116989,170.150139,1.6485,724.0,42.6
Kepler-55,Kepler,1,285.16833,44.026459,15.791,27.9541337,178.73791,3.95,943.0,25.4
Kepler-110,Kepler,1,292.92914,48.60281,12.935,12.69104387,137.12594,3.7727,252.0,60.2
K00895.01,Kepler,0,296.41019,43.455391,15.403,4.409409243,171.89433,3.8636,12900.0,85.8
Kepler-248,Kepler,1,293.0614,43.58136,15.258,16.23947096,175.569907,4.0374,2590.0,123.8
Kepler-248,Kepler,1,293.0614,43.58136,15.258,6.308201629,174.047661,2.9785,1330.0,86.2
Kepler-718,Kepler,1,299.56189,43.503559,15.257,2.052349884,169.890622,2.0778,14300.0,1072.1
Kepler-83 A b,Kepler,1,282.23251,43.66563,15.777,9.7704486,175.71372,2.4517,1900.0,58.0
Kepler-83 A d,Kepler,1,282.23251,43.66563,15.777,5.169804269,172.63153,2.153,1040.0,41.4
Kepler-109,Kepler,1,290.39273,40.28487,12.365,21.22261195,137.57403,6.5093,366.0,114.9
Kepler-83 A c,Kepler,1,282.23251,43.66563,15.777,20.09017037,147.97788,4.154,1430.0,36.9
Kepler-249,Kepler,1,296.98505,43.65852,15.234,7.11373257,174.32351,2.1764,808.0,44.4
Kepler-249,Kepler,1,296.98505,43.65852,15.234,3.306551643,134.37211,1.8177,509.0,37.8
Kepler-249,Kepler,1,296.98505,43.65852,15.234,15.36845737,147.38965,2.4714,756.0,30.9
K00900.01,Kepler,1,281.96063,43.70311,15.425,13.81020318,172.33533,3.048,1310.0,46.2
Kepler-722,Kepler,1,290.26328,44.55645,15.399,4.093578461,171.00954,2.5833,539.0,36.4
Kepler-722,Kepler,1,290.26328,44.55645,15.399,105.145959,178.367,8.593,685.0,15.4
Kepler-252,Kepler,1,295.57935,44.545959,15.058,10.8484518,171.80584,2.9993,1680.0,64.5
Kepler-252,Kepler,1,295.57935,44.545959,15.058,6.66833241,137.43988,1.915,362.0,14.2
Kepler-723,Kepler,1,284.83047,44.658138,15.198,4.082274889,169.6375652,3.23015,17900.0,1669.1
K00914.01,Kepler,1,288.72665,44.60751,15.371,3.886655224,169.73814,3.1646,582.0,48.1
Kepler-55,Kepler,1,285.16833,44.026459,15.791,42.1406089,139.0604,5.083,896.0,21.6
Kepler-55,Kepler,1,285.16833,44.026459,15.791,4.617490562,135.04909,2.2618,576.0,28.1
Kepler-55,Kepler,1,285.16833,44.026459,15.791,10.19849255,137.92067,2.4283,634.0,21.4
K00905.01,Kepler,0,296.50754,44.036072,15.289,5.795063956,172.697467,3.2496,1690.0,119.4
Kepler-250,Kepler,1,289.59476,44.141949,15.46,7.15681552,174.13511,2.5882,867.0,47.7
Kepler-250,Kepler,1,289.59476,44.141949,15.46,17.64830851,133.54533,2.0873,763.0,23.8
Kepler-250,Kepler,1,289.59476,44.141949,15.46,4.14810719,133.3881,2.535,175.0,12.9
Kepler-251,Kepler,1,296.56622,44.105862,15.223,16.51410989,176.11686,4.1575,974.0,55.9
Kepler-251,Kepler,1,296.56622,44.105862,15.223,30.1329298,190.38336,5.172,1020.0,44.8
Kepler-251,Kepler,1,296.56622,44.105862,15.223,4.79090809,136.31106,2.603,251.0,21.2
Kepler-110,Kepler,1,292.92914,48.60281,12.935,31.71981013,142.82083,4.819,363.0,63.1
Kepler-251,Kepler,1,296.56622,44.105862,15.223,99.6415962,198.68664,4.448,953.0,22.7
Kepler-720,Kepler,1,298.63565,44.17094,15.113,4.708326451,171.446507,3.16114,7910.0,633.4
